Season Start,Year,League,Team (Short),Team (Full),Division,DivWin,WCWin,LgWin,WSWin,G,W,L,RS,AB,H,2B,3B,HR,BB,SO,SB,CS,RA,ER,ERA,CG,SHO,SV
4/1/2000,2000,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,95,67,810,5489,1490,274,26,179,595,1010,148,56,714,648,4.05,13,9,53
4/1/2000,2000,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,74,88,794,5549,1508,310,22,184,558,900,126,65,913,855,5.37,14,6,33
4/1/2000,2000,AL,BOS,Boston Red Sox,E,N,N,N,N,162,85,77,792,5630,1503,316,32,167,611,1019,43,30,745,683,4.23,7,12,46
4/1/2000,2000,AL,CHA,Chicago White Sox,C,Y,N,N,N,162,95,67,978,5646,1615,325,33,216,591,960,119,42,839,751,4.66,5,7,43
4/1/2000,2000,NL,CHN,Chicago Cubs,C,N,N,N,N,162,65,97,764,5577,1426,272,23,183,632,1120,93,37,904,849,5.25,10,5,39
4/1/2000,2000,NL,CIN,Cincinnati Reds,C,N,N,N,N,163,85,77,825,5635,1545,302,36,200,559,995,100,38,765,700,4.33,8,7,42
4/1/2000,2000,AL,CLE,Cleveland Indians,C,N,N,N,N,162,90,72,950,5683,1639,310,30,221,685,1057,113,34,816,775,4.84,6,5,34
4/1/2000,2000,NL,COL,Colorado Rockies,W,N,N,N,N,162,82,80,968,5660,1664,320,53,161,601,907,131,61,897,835,5.26,7,2,33
4/1/2000,2000,AL,DET,Detroit Tigers,C,N,N,N,N,162,79,83,823,5644,1553,307,41,177,562,982,83,38,827,755,4.71,6,6,44
4/1/2000,2000,NL,FLO,Florida Marlins,E,N,N,N,N,161,79,82,731,5509,1441,274,29,160,540,1184,168,55,797,729,4.59,5,4,48
4/1/2000,2000,NL,HOU,Houston Astros,C,N,N,N,N,162,72,90,938,5570,1547,289,36,249,673,1129,114,52,944,865,5.42,8,2,30
4/1/2000,2000,AL,KCA,Kansas City Royals,C,N,N,N,N,162,77,85,879,5709,1644,281,27,150,511,840,121,35,930,876,5.48,10,6,29
4/1/2000,2000,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,86,76,798,5481,1408,265,28,211,668,1083,95,42,729,659,4.1,9,11,36
4/1/2000,2000,NL,MIL,Milwaukee Brewers,C,N,N,N,N,163,73,89,740,5563,1366,297,25,177,620,1245,72,44,826,755,4.63,2,7,29
4/1/2000,2000,AL,MIN,Minnesota Twins,C,N,N,N,N,162,69,93,748,5615,1516,325,49,116,556,1021,90,45,880,819,5.14,6,4,35
4/1/2000,2000,NL,MON,Montreal Expos,E,N,N,N,N,162,67,95,738,5535,1475,310,35,178,476,1048,58,48,902,812,5.13,4,7,39
4/1/2000,2000,AL,NYA,New York Yankees,E,Y,N,Y,Y,161,87,74,871,5556,1541,294,25,205,631,1007,99,48,814,753,4.76,9,6,40
4/1/2000,2000,NL,NYN,New York Mets,E,N,Y,Y,N,162,94,68,807,5486,1445,281,20,198,675,1037,66,46,738,670,4.16,8,10,49
4/1/2000,2000,AL,OAK,Oakland Athletics,W,Y,N,N,N,161,91,70,947,5560,1501,281,23,239,750,1159,40,15,813,730,4.58,7,11,43
4/1/2000,2000,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,65,97,708,5511,1386,304,40,144,611,1117,102,30,830,763,4.77,8,6,34
4/1/2000,2000,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,69,93,793,5643,1506,320,31,168,564,1032,86,40,888,795,4.94,5,7,27
4/1/2000,2000,NL,SDN,San Diego Padres,W,N,N,N,N,162,76,86,752,5560,1413,279,37,157,602,1177,131,53,815,733,4.52,5,5,46
4/1/2000,2000,AL,SEA,Seattle Mariners,W,N,Y,N,N,162,91,71,907,5497,1481,300,26,198,775,1073,122,56,780,720,4.49,4,10,44
4/1/2000,2000,NL,SFN,San Francisco Giants,W,Y,N,N,N,162,97,65,925,5519,1535,304,44,226,709,1032,79,39,747,675,4.21,9,15,47
4/1/2000,2000,NL,SLN,St. Louis Cardinals,C,Y,N,N,N,162,95,67,887,5478,1481,259,25,235,675,1253,87,51,771,698,4.38,10,7,37
