Location,Burrito,Date,Recommendation,Reviewer,Notes,Yelp Rating,Cost,Tortilla (0-5),Temp (0-5),Fillings (0-5),Meat Volume (0-5),Uniformity (0-5),Salsa (0-5),Synergy (0-5),Wrap Quality (0-5)
Rudy's Taco Shop,Chicken,4/9/2016,No,Scott,"Salsa Fresca is good, way too small",4,6.6,3.5,3,4.5,3,1,3,4,0.5
Rudy's Taco Shop,Carnitas,4/9/2016,No,Emily,,,6.6,3,2.5,4,2,1,3,3,5
Taco stand,Carne asada,4/14/2016,Yes,Scott,Too small ,,7.89,3,2,4,4,1.5,4.5,4.5,4.5
Taco stand,Carne asada,4/14/2016,Yes,Richard,A little small. No rice and beans or cheese or sour cream,,7.89,3,2.5,3.5,4.5,3,4,3.5,5
California Burritos,California Everything,4/15/2016,Yes,Scott,,4.5,6.25,4.5,4.5,3.5,3.5,3.5,3,4,5
California Burritos,California Everything,4/15/2016,No,Brent,Brent doesn't like fries in his burrito,,6.25,4,4,2.5,3,3.5,4,4,5
California Burritos,California Everything,4/15/2016,Yes,Luis,,,6.25,4,4.5,5,5,5,4.5,5,5
California Burritos,Chile relleno and carnitas,4/15/2016,Yes,Karl,,,6.5,4.5,5,5,5,4,4,5,5
California Burritos,California (only cheese),4/15/2016,Yes,Kalen,,,6.25,5,5,4,4,2,3,5,5
Vallarta express,Fish,4/15/2016,,Erin,,,6.5,3,3,4,4,3,3,4,1.5
Vallarta express,California,4/15/2016,,Ricardo,,,6.65,3.5,3,3.5,4.5,3.5,3.5,4,4
Jorge's Mexicatessen,California,4/24/2016,Yes,Scott,"Cheese should be melted, potatoes are very good",4,5.95,2.5,2.5,4,3,4.5,4,4.5,4.5
Jorge's Mexicatessen,Chimichanga beef,4/24/2016,No,Emily,,,5.5,2,4,3,3,4,3.5,3.5,3
Senor Grubby's,California,4/24/2016,No,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",4,9,2,3.5,1.5,1,1,2.5,1.5,3.5
Senor Grubby's,Pastor,4/24/2016,No,Emily,,,9,2.5,2.5,2.5,1,2,2.5,2,5
Mi Asador Mexican & Seafood,California,4/27/2016,No,Scott,,4.5,6.89,3,2.5,2.5,2.5,2,3.5,3,4
Mi Asador Mexican & Seafood,El Hawaiiano,4/27/2016,Yes,Emily,Pineapple is really good,,6.39,4,3,3.5,3,3,3.5,4,3.5
Sotos Mexican Food,California,5/4/2016,Yes,Scott,Fries are good. Too little meat,4.5,6.75,4.5,4,4,1,3,4.5,3.5,4.5
Sotos Mexican Food,Pastor,5/4/2016,No,Emily,Free lime. Ingredients chopped finely,,5.99,4,2,4,4,3,3.5,4,5
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,5/5/2016,Yes,Chuck K,,,4.59,4,4,5,5,5,5,5,4
Taco stand,California,5/6/2016,Yes,Scott,Less meat than usual,,7.49,3.5,4,4,3.5,3,4,4.5,3
Taco stand,California,5/6/2016,Yes,Ricardo,,,7.49,4,3.5,4,4.5,5,4.5,5,4.5
Taco stand,California,5/6/2016,Yes,Luis,,,7.49,3,3,3.5,3.5,4,3.5,4,2.5
Taco stand,California,5/6/2016,Yes,Elynn,,,7.49,4,2,5,1,3,5,4,3
Taco stand,California,5/6/2016,Yes,Sandra,,,7.49,4,3,4.5,5,4.5,3,4.5,4
Taco stand,Carne asada,5/6/2016,Yes,Brent,,,7.89,4,2,3,4,4,4,3.5,4
Taco stand,Shrimp,5/6/2016,Yes,Sankeerth,,,8.95,4,4,5,5,4,5,5,5
Vallarta express,California,5/9/2016,No,Scott,,,6.95,3,3.5,3.5,3,2.5,2.5,2.5,2
Lolita's taco shop,California,5/12/2016,No,Scott,,,7,3,5,3.5,3,1.5,3,3,4
Lolita's taco shop,2 in 1,5/12/2016,Yes,Bankole,,,8.75,3,4,4.7,3,2.4,2,3.7,4.5
Lolita's taco shop,2 in 1,5/12/2016,Yes,Katie,,,8.75,4.5,3.8,4.5,3.4,1.5,3,3.8,4
Rigoberto's Taco Shop,El Rusio,5/13/2016,No,Scott,Fries are terrible. Burrito leaked,,6.65,3,4.5,2,3.5,5,1.5,2,1.5
Rigoberto's Taco Shop,Carne asada,5/13/2016,Yes,Ricardo,,,6.6,4,3.5,4,3.5,4,4,4.5,4.5
Rigoberto's Taco Shop,Carne asada,5/13/2016,Yes,Erin,Meat was too salty,,6.6,4,3,3,3.5,3,3,3.5,4.5
Rigoberto's Taco Shop,Carnitas,5/13/2016,Yes,Elynn,,,7.5,4,5,5,5,4,5,4,4
Rigoberto's Taco Shop,Bacon breakfast,5/13/2016,Yes,Luis,,,6.25,4,3.5,4,5,5,3,5,4.5
Rigoberto's Taco Shop,Chile Relleno,5/13/2016,Yes,Matteo,,,6.6,5,4,5,5,4,3,5,3
Rigoberto's Taco Shop,Fish,5/13/2016,Yes,Aga,,,6,5,4.5,5,5,5,3,5,4
Karina's Taco Shop,Bomb,5/15/2016,Yes,Scott,,4,7.99,4,4,3.5,2.5,3.5,4,3.5,2.5
Karina's Taco Shop,California,5/15/2016,Yes,Emily,,,6.99,3.5,4,3.5,3,1,4,4,4.5
Los Primos Mexican Food,619 Burrito Original,5/16/2016,Yes,Sai G,,,11.75,3,3,5,4,4,5,4,3
La Perla Cocina,California,5/16/2016,Yes,Laya,A LOT of carne asada!,,6.5,4,3,4,5,4,4,4,5
Juanita's Taco Shop,California,5/18/2016,Yes,Scott,,4,5.55,4,4.5,3,5,3,4,3,5
Juanita's Taco Shop,Arizona,5/18/2016,Yes,Emily,,,5.55,4.5,4,4,3.5,4,3,4,5
El Zarape,Surf and Turf,5/19/2016,Yes,Damien B,Get the green sauce,,7,5,5,5,5,5,5,5,5
Lolita's,Bean and Cheese,5/19/2016,Yes,,,,,3.8,4,4.7,3,5,3,4.7,5
Goody's,Custom,5/20/2016,No,Scott,Grocery store tortilla; cold guac,3.5,7.25,1.5,1,2,2,2,2,2,1
Kotija Jr.,Fish,5/20/2016,Yes,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given,,6.5,3,3,4,5,4,4,5,4
Goody's,Custom,5/20/2016,No,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,,8,3,3,2,2,2,2,2,1
MXN on Washington,Bean and rice grande size,5/20/2016,Yes,Sarah,Got green and hot salsa put inside the burrito-drive thru,,2.99,4.5,3.5,4.5,3,3.5,3,4,4
Goody's,Carne Asada,5/21/2016,No,Kevin,"Sucks, but it is okay.",,6.25,3.5,3,2,2.5,3,2,1.5,1
Pedro's Tacos,California Burrito,5/22/2016,Yes,Erika N,,,6.5,3,3,5,4,4,3,5,5
Chipotle,Custom,5/22/2016,Yes,Gurkirat S,,,7,3,3,3,3,4,4,4,4
Taco Surf PB,California,5/23/2016,Yes,Scott,not too much rice,4,7.14,4,2,5,4,2,4,4.5,5
Taco Surf PB,California,5/23/2016,Yes,Sage,hashbrowns instead of fries; anterior-posterior uniformity is good but medial-lateral is bad,,7.14,4,2,4,3.5,2,3,4,4
Taco Surf PB,Carne asada,5/23/2016,Yes,Dan,one hot side and one cold side from the guac,,6.02,4.5,2,3.4,4.5,4.5,3.8,3.7,5
Roberto's Very Mexican Food,Chicken asada,5/24/2016,No,Scott,,3.5,6.5,1.5,4,2,4.5,1,1,2,5
Roberto's Very Mexican Food,Carnitas,5/24/2016,No,Emily,,,5.4,2,3.5,2.5,3.5,1.5,1.5,3,5
Netos Mexican Food,California,5/26/2016,Yes,Scott,not 100% certain about the ingredients (was there guac and pico?),4.5,5.99,4.5,5,4,2,2,2,3.75,4
Netos Mexican Food,Carne adobada,5/26/2016,Yes,Emily,"Best free chips, novel burrito",,5.5,3.5,4,3,3.5,3.5,2.5,3,2.5
Lolita's Taco shop,Carne asada,5/27/2016,No,Scott,Way too small,,6.25,1.5,2.5,4.5,4,2,2.75,3.75,3
Lolita's Taco shop,Shrimp,5/27/2016,Yes,Emily,,,8.95,3,3,4,3.5,3.5,2.5,4,0.5
Lolita's Taco shop,Bean and cheese,5/27/2016,No,Scott,,,3.5,3.5,4.5,3,3,4,3,2.5,4
Humbertos,Pollo california,5/27/2016,Yes,Logan,,,6,4,5,5,5,4,5,5,5
Chili Peppers,Surf & Turf,5/28/2016,Yes,Chris H,,,9.43,4,5,5,5,5,5,5,5
Pokirrito,Pokirrito classic,5/29/2016,Yes,Scott,Lotus chips add good crunch,4,11.95,3.5,4,4.5,2.5,2.5,3,4,2
Pokirrito,Mauna Lani,5/29/2016,Yes,Emily,,,11.95,3,4,4,3,2.5,4.5,4,1.5
Los Primos Mexican Food,California,5/29/2016,Yes,Sage,,,7.5,3,5,3.5,4,4,2.5,3,5
Colima's,Colimas burrito,5/31/2016,Yes,Brian,,,8.25,5,5,5,5,5,3,5,4.5
El Nopalito,Especial,6/1/2016,No,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",4,4.87,3,4,2,3,5,3,2.5,5
El Nopalito,Ranchero steak,6/1/2016,No,Emily,,,4.87,3.5,3,2.4,3.5,4.5,3,3,1.5
Los Primos Mexican Food,Monster California,6/3/2016,No,Scott,,,9.25,2,1,3,1,3,3,2,4
Los Primos Mexican Food,California,6/3/2016,No,Ricardo,,,7,4.5,4,4,1,1,2,2,4
Los Primos Mexican Food,California breakfast,6/3/2016,No,Erin,,,6.25,3,4,2,1.5,1,3,1.5,3
Los Primos Mexican Food,Baja monster,6/3/2016,No,Elynn,,,6,3,3,4,2,2,3,2,1
Los Primos Mexican Food,Baja monster,6/3/2016,Yes,Rob,,,6,4,3.5,4,2,4,4,4,3
Los Primos Mexican Food,Carnitas,6/3/2016,No,Matteo,,,6.35,4,4,2,3,2,2,2,3
Los tacos,Local,6/5/2016,Yes,Scott,,4,7.9,3.5,4.5,4,1.5,1.5,3,4,5
Los tacos,Fusion,6/5/2016,Yes,Emily,,,8.5,4,4,3.5,4,4,4,4.5,4.5
Taco Stand,Al pastor,6/6/2016,Yes,Scott,,,6.99,4,3.5,3.5,4,5,2.5,4,4.5
Taco Stand,Al pastor,6/6/2016,Yes,Brad P,,,6.99,4,4,4,2,3,3,4,3
Albertacos,California,6/8/2016,Yes,Scott,,3.5,5.7,3.5,3,4,1.5,4,4,4,4
Albertacos,Carne asada,6/8/2016,Yes,Emily,,,5.25,3.5,3,3.5,4,4,4,3.5,5
El Rey Moro,California Surf,6/9/2016,Yes,Scott,shrimp is really good. too much chipotle sauce,4,9.19,3.5,4.5,3.5,5,4.5,3,3.5,5
Tacos por favor,Carne asada,6/11/2016,Yes,Scott,,4,7.85,3,4.5,3.5,3.5,3.5,1,4,1
Tacos por favor,Al pastor,6/11/2016,Yes,Christian,,,6.85,3,5,3,5,4,3,4,3
Tacos por favor,Carne asada,6/11/2016,,Sam H,,,6.85,4,5,3,4,4,3,3,3
El dorado Mexican food,California,6/16/2016,Yes,Scott,Salsa verde has an interesting hint of garlic,4.5,6.94,4,4,4.5,3.2,3,4.5,4.5,2
El dorado Mexican food,Super,6/16/2016,Yes,Emily,,,6.94,3.5,3.5,3.5,4,4,4.5,3.5,4.5
Saguaro's,Vegetarian,6/20/2016,Yes,Brian,"Great rice and beans burrito, doesn't come with cheese or sour cream. ",,5.25,4,5,5,4,4,5,5,5
Lolita's Taco Shop,California,6/23/2016,No,Scott,,,7,2.8,3,2,2,4.5,2,1.5,4.5
Lolita's Taco Shop,California,6/23/2016,Yes,Cris,,,7,4,4,3,4,5,4,4,5
Lolita's Taco Shop,California,6/23/2016,,Matt,,,7,3.5,2,4,2,4,3,3,4
Lolita's Taco Shop,Mixed,6/23/2016,Yes,Marc,,,8.25,4,3,4,4,5,3,4,5
California Burritos,California Everything,6/24/2016,Yes,Scott,Temperature brought it down,,6.25,3.8,1.3,3.5,4.5,4.5,3.5,4,5
California Burritos,California Everything,6/24/2016,Yes,Ricardo,,,6.25,4,4,4,4,3.5,4,4,4.5
California Burritos,California Everything,6/24/2016,Yes,Elynn,,,6.25,3,2.5,4,4,2,2,3,4
California Burritos,California Everything,6/24/2016,Yes,Erin,,,6.25,5,4,4.5,4,4.5,3,4,4
California Burritos,California Everything,6/24/2016,Yes,Luis,,,6.25,4,3.5,4,4.5,4,4.5,4.5,5
California Burritos,Carnitas,6/24/2016,Yes,Matteo,,,5.5,5,4,4,4.5,4,4,4.5,4
California Burritos,Carne asada everything,6/24/2016,Yes,Brent,,,6.25,4,3,3,4,3,3,4,4
California Burritos,Carne asada everything,6/24/2016,Yes,Daniel,,,6.25,4,5,4,4.5,4,3,4,5
California Burritos,Carne asada everything,6/24/2016,Yes,Alejandro,,,6.25,4,3,4,4,4,5,5,3
California Burritos,California Everything,8/1/2016,Yes,Ricardo,,,6.25,4,4,4,3,4,4,3.5,4.5
California Burritos,California Everything,8/1/2016,Yes,Elynn,,,6.25,3,2,5,4,4,3,4,3
