Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,9/9/2016,"Coach Q WOD ""300 AROO"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153714375096861/,video,14,Afternoon,35,302,268,27
Spartan Race,9/9/2016,Spartan Pro Faye Stenning (@fayestenning_ocr) won't let the a rope hang between her and first place …,https://www.facebook.com/spartanrace/videos/10153714450181861/,video,15,Evening,32,408,391,25
Spartan Race,9/9/2016,"Chapter II: Recovering addict, Ray Morvan, travels 2,000+ miles to get a new brain.",http://bit.ly/2batCdO,link,18,Evening,14,47,44,0
Spartan Race,9/9/2016,Spartan Jenna Wolfe leads us today with some #SpartanTraining that will get you ready for your next …,https://www.facebook.com/jennawolfefitness/videos/1171257662915321/,video,18,Evening,,89,87,1
Spartan Race,9/9/2016,"This weekend, Spartans descend upon Fort Bragg, North Carolina- Home of the U.S. Army Airborne force…",https://www.facebook.com/spartanrace/videos/10153714967121861/,video,19,Evening,228,1111,1059,52
Spartan Race,9/9/2016,"With woodlands, grass, and of course the obligatory water, the Ft. Bragg Sprint is ideal to test Spa…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153714972401861/?type=3,photo,20,Evening,114,361,346,36
Spartan Race,9/9/2016,Wish you could tackle a #SpartanRace course at the base of the Austrian Alps? Now you can. Virtually…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153715145801861/?type=3,photo,21,Evening,21,380,351,4
Spartan Race,9/9/2016,"To whoever asks, show them where it all began.",https://www.facebook.com/spartanrace/videos/10153715351866861/,video,23,Late Night,41,189,174,14
Spartan Race,9/9/2016,Coach Jodie Somers is live from Australia with a weekend strength workout to help you with your next…,https://www.facebook.com/spartanrace/videos/10153715353831861/,video,23,Late Night,52,469,423,29
Spartan Race,9/10/2016,"The Elite men explode off the start line, kicking off the 2016 Ft Bragg #SpartanRace Military Sprint…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716522171861/?type=3,photo,12,Afternoon,24,701,673,11
Spartan Race,9/10/2016,SpartanRace Pro Team Member Robert Killian will be attempting a #Trifecta sweep this weekend at Ober…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153716536716861/?type=3,photo,12,Afternoon,2,216,214,0
